file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,175,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,13
style.css,176,css,11ea9881,derricknguyen12,2025-01-31,18:04:56,-08:00,2025-01-31T18:04:56-08:00,0,37
style.css,177,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,10
style.css,178,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,13
style.css,179,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,180,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,181,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,18
style.css,182,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,13
style.css,183,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,27
style.css,184,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,16
style.css,185,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,8
style.css,186,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,41
style.css,187,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,18
style.css,188,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,12
style.css,189,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,37
style.css,190,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,45
style.css,191,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,18
style.css,192,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,24
style.css,193,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,194,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,195,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,13
style.css,196,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,9
style.css,197,css,21bd330b,derricknguyen12,2025-01-31,23:07:46,-08:00,2025-01-31T23:07:46-08:00,0,16
style.css,198,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,16
style.css,199,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,22
style.css,200,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,201,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,202,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,14
style.css,203,css,21bd330b,derricknguyen12,2025-01-31,23:07:46,-08:00,2025-01-31T23:07:46-08:00,0,14
style.css,204,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,12
style.css,205,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,14
style.css,206,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,207,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,208,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,12
style.css,209,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,14
style.css,210,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,17
style.css,211,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,212,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,0
style.css,213,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,21
style.css,214,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,17
style.css,215,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,9
style.css,216,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,19
style.css,217,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,218,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,219,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,24
style.css,220,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,9
style.css,221,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,10
style.css,222,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,19
style.css,223,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,224,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,225,css,34163d55,derricknguyen12,2025-01-15,20:12:01,-08:00,2025-01-15T20:12:01-08:00,0,8
style.css,226,css,34163d55,derricknguyen12,2025-01-15,20:12:01,-08:00,2025-01-15T20:12:01-08:00,0,17
style.css,227,css,34163d55,derricknguyen12,2025-01-15,20:12:01,-08:00,2025-01-15T20:12:01-08:00,0,14
style.css,228,css,34163d55,derricknguyen12,2025-01-15,20:12:01,-08:00,2025-01-15T20:12:01-08:00,0,12
